numbers,monitornumbers.started,first_press,second_press,first_rt,second_rt,correct,correct2,trials_2.monitornumbers_resp.rt,matches,
7,157.6037767,3,NA,0.160057125,NA,FALSE,NA,0.16005712500191294,0.654970041,
1,158.1034895,7,NA,0.287987125,NA,FALSE,NA,0.28798712500429247,0.787699917,
8,158.603287,None,NA,NA,NA,NA,NA,,,
3,159.103189,8,NA,0.039440208,NA,FALSE,NA,0.039440207998268306,0.539342208,
7,159.6037811,3,NA,0.236229167,NA,FALSE,NA,0.2362291669996921,0.73682125,
6,160.1115234,7,NA,0.188773583,NA,FALSE,NA,0.1887735829950543,0.696515917,
4,160.6052325,None,NA,NA,NA,NA,NA,,,
1,161.1038425,4,NA,0.055275917,NA,FALSE,NA,0.055275917,0.553885875,
8,161.6037894,None,NA,NA,NA,NA,NA,,,
3,162.1041332,8,NA,0.015997083,NA,FALSE,NA,0.015997082999092527,0.516340875,
7,162.6038881,3,NA,0.02698625,NA,FALSE,NA,0.026986249999026768,0.526741208,
1,163.1039391,5,NA,0.132587792,NA,FALSE,NA,0.13258779200259596,WRONG,
8,163.6037565,None,NA,NA,NA,NA,NA,,,
3,164.1035956,8,NA,0.047584708,NA,FALSE,NA,0.047584707994246855,0.547423875,
7,164.60388,3,NA,0.053472875,NA,FALSE,NA,0.053472875006264076,0.553757292,
1,165.1039553,None,NA,NA,NA,NA,NA,,,
8,165.6093734,None,NA,NA,NA,NA,NA,,,
6,166.1032612,8,NA,0.027484708,NA,FALSE,NA,0.027484708,0.521372583,
4,166.603906,None,NA,NA,NA,NA,NA,,,
2,167.1041408,None,NA,NA,NA,NA,NA,,,
5,167.605266,5,NA,0.384260208,NA,TRUE,NA,0.3842602079967037,0.384260208,
3,168.1068134,4,NA,0.414369709,NA,FALSE,NA,0.4143697089893976,WRONG,
7,168.6048542,None,NA,NA,NA,NA,NA,,,
6,169.1025949,8,NA,0.193025334,NA,FALSE,NA,0.19302533401059918,WRONG,
4,169.6039343,None,NA,NA,NA,NA,NA,,,
